year,start_hour,start_min,duration_min,alarm_type
2023,10,27,16.48,МіГ-31К
2023,09,40,120.8,МіГ-31К
2023,08,29,46.9,Невідомо
2023,21,10,17.45,МіГ-31К
2023,23,28,96.07,Невідомо
2023,15,26,31.27,Невідомо
2023,01,20,111.02,Невідомо
2023,01,12,140.02,Невідомо
2023,08,58,40.22,МіГ-31К
2023,01,45,80.22,Невідомо
2023,02,06,117.82,Невідомо
2023,19,12,112.15,Невідомо
2023,00,42,113.05,Невідомо
2023,16,58,16.52,Невідомо
2023,23,23,99.68,Невідомо
2023,00,49,135.73,Невідомо
2023,17,54,32.38,Невідомо
2023,23,18,174.47,Невідомо
2023,00,48,82.48,Невідомо
2023,22,27,246.07,Невідомо
2023,00,47,87.68,Невідомо
2023,23,46,147.73,Невідомо
2023,08,40,33.53,Невідомо
2023,00,22,58.32,Невідомо
2023,23,35,108.68,Невідомо
2023,23,36,95.32,Невідомо
2023,08,30,32.82,Невідомо
2023,16,59,66.98,Невідомо
2023,22,41,157.45,Ракетна
2023,14,06,16.35,Невідомо
2023,00,52,50.75,Невідомо
2023,17,24,21.6,Невідомо
2023,20,43,22.68,Невідомо
2023,12,47,61.65,Ракетна
2023,15,15,16.25,Невідомо
2023,08,27,55.45,Ракетна
2023,01,05,116.1,Ракетна
2023,23,33,63.87,Невідомо
2023,18,38,14.35,Невідомо
2023,19,48,23.52,МіГ-31К
2023,23,38,86.88,Невідомо
2023,23,06,71.28,Ракетна
2023,18,23,32.92,Невідомо
2023,12,05,18.98,МіГ-31К
2023,16,12,28.75,МіГ-31К
2023,21,38,120.43,Ракетна
2023,15,37,28.72,МіГ-31К
2023,15,54,17.13,МіГ-31К
2023,20,13,14.42,Невідомо
2023,10,47,53.95,Невідомо
2023,15,31,111.98,Ракетна
2023,17,48,25.75,МіГ-31К
2023,21,12,31.18,МіГ-31К
2023,08,39,19.3,МіГ-31К
2023,08,59,1.0,Невідомо
2023,10,16,20.55,МіГ-31К
2023,12,31,13.82,МіГ-31К
2023,04,30,22.03,Невідомо
2023,05,17,20.78,Невідомо
2023,10,41,39.83,Невідомо
2023,06,29,34.53,МіГ-31К
2023,08,36,32.93,МіГ-31К
2023,15,26,71.03,Ракетна
2023,00,59,52.7,Ракетна
2023,14,54,31.72,Невідомо
2023,13,03,43.33,МіГ-31К
2023,14,41,25.47,МіГ-31К
2023,17,44,24.4,МіГ-31К
2023,20,24,21.2,МіГ-31К
2023,00,38,29.43,БпЛА/Шахеди
2023,06,50,42.75,МіГ-31К
2023,01,02,106.43,Ракетна
2023,12,26,59.65,МіГ-31К
2023,17,24,70.57,МіГ-31К
2023,14,01,0.0,МіГ-31К
2023,14,51,38.75,МіГ-31К
2023,16,11,22.77,МіГ-31К
2023,18,23,149.1,МіГ-31К
2023,10,21,14.07,МіГ-31К
2023,09,51,31.93,МіГ-31К
2023,12,27,57.92,МіГ-31К
2023,14,06,29.3,МіГ-31К
2023,15,02,40.75,МіГ-31К
2023,17,21,13.97,МіГ-31К
2023,18,41,9.85,МіГ-31К
2023,19,22,30.4,МіГ-31К
2023,20,27,20.55,МіГ-31К
2023,01,02,140.83,Ракетна
2023,01,51,40.4,Ракетна
2023,10,33,39.35,Невідомо
2023,02,37,36.88,Ракетна
2023,17,04,52.97,МіГ-31К
2023,02,34,78.08,Ракетна
2023,02,13,47.58,Ракетна
2023,00,39,140.1,БпЛА/Шахеди
2023,02,43,54.45,Ракетна
2023,04,50,46.78,Ракетна
2023,21,30,43.22,Ракетна
2023,11,24,30.33,МіГ-31К
2023,16,34,20.62,МіГ-31К
2023,15,41,63.28,Невідомо
2023,07,54,121.92,МіГ-31К
2023,00,59,28.38,БпЛА/Шахеди
2023,01,36,59.42,БпЛА/Шахеди
2023,23,01,258.72,БпЛА/Шахеди
2023,10,39,150.88,МіГ-31К
2023,13,07,84.95,МіГ-31К
2023,12,26,39.88,МіГ-31К
2023,08,31,215.62,МіГ-31К
2023,10,06,206.43,МіГ-31К
2023,00,44,70.45,БпЛА/Шахеди
2023,12,38,163.82,МіГ-31К
2023,10,06,133.75,МіГ-31К
2023,10,21,103.75,МіГ-31К
2023,11,43,44.57,МіГ-31К
2023,09,00,83.6,МіГ-31К
2023,10,09,101.02,МіГ-31К
2023,11,03,93.73,МіГ-31К
2023,00,21,150.18,БпЛА/Шахеди
2023,00,44,134.87,БпЛА/Шахеди
2023,10,53,106.17,МіГ-31К
2023,10,43,65.82,МіГ-31К
2023,08,18,68.1,МіГ-31К
2023,09,07,98.13,МіГ-31К
2023,12,09,48.4,МіГ-31К
2023,13,36,36.23,МіГ-31К
2023,15,30,65.82,Невідомо
2023,18,25,39.47,Невідомо
2023,11,49,55.67,МіГ-31К
2023,08,34,123.97,МіГ-31К
2023,09,18,96.05,МіГ-31К
2023,09,55,16.65,Невідомо
2023,07,23,15.5,Невідомо
2023,01,01,152.97,БпЛА/Шахеди
2023,05,05,145.4,Ракетна
2023,08,31,86.27,МіГ-31К
2023,08,42,65.8,МіГ-31К
2023,11,26,47.63,МіГ-31К
2023,18,06,83.8,МіГ-31К
2024,02,06,106.17,БпЛА/Шахеди
2024,09,21,152.27,МіГ-31К
2024,12,56,36.15,МіГ-31К
2024,04,23,202.4,Ракетна
2024,07,24,126.83,БпЛА/Шахеди
2024,07,54,70.4,БпЛА/Шахеди
2024,04,20,124.53,Ракетна
2024,06,00,50.32,МіГ-31К
2024,11,31,75.18,МіГ-31К
2024,04,33,110.2,Ракетна
2024,09,53,80.73,МіГ-31К
2024,10,31,25.63,МіГ-31К
2024,08,38,79.2,МіГ-31К
2024,08,30,100.03,МіГ-31К
2024,06,47,25.25,МіГ-31К
2024,09,44,94.12,МіГ-31К
2024,10,16,29.83,МіГ-31К
2024,10,58,7.05,Невідомо
2024,10,08,79.38,МіГ-31К
2024,12,59,34.25,МіГ-31К
2024,04,05,129.32,Ракетна
2024,12,49,172.93,МіГ-31К
2024,09,42,136.0,МіГ-31К
2024,11,29,56.03,МіГ-31К
2024,10,16,26.35,МіГ-31К
2024,10,08,31.97,МіГ-31К
2024,13,15,85.52,МіГ-31К
2024,09,40,36.53,МіГ-31К
2024,10,56,20.08,МіГ-31К
2024,03,59,169.5,Ракетна
2024,09,22,95.93,МіГ-31К
2024,11,19,34.32,МіГ-31К
2024,03,01,127.58,Ракетна
2024,08,55,69.1,МіГ-31К
2024,13,05,32.38,Балістика
2024,10,04,82.65,МіГ-31К
2024,10,14,67.9,МіГ-31К
2024,10,40,45.83,МіГ-31К
2024,23,28,54.52,БпЛА/Шахеди
2024,06,45,22.63,МіГ-31К
2024,15,55,21.6,МіГ-31К
2024,16,56,16.87,МіГ-31К
2024,22,25,61.12,БпЛА/Шахеди
2024,10,41,46.3,МіГ-31К
2024,11,43,33.18,МіГ-31К
2024,20,03,36.5,БпЛА/Шахеди
2024,14,01,13.22,МіГ-31К
2024,14,08,44.63,МіГ-31К
2024,01,43,146.5,Ракетна
2024,00,31,267.77,БпЛА/Шахеди
2024,01,28,153.07,Ракетна
2024,07,31,27.27,МіГ-31К
2024,15,43,29.72,Ракетна
2024,10,09,59.52,МіГ-31К
2024,16,03,31.08,МіГ-31К
2024,00,12,236.08,БпЛА/Шахеди
2024,02,01,86.38,Ракетна
2024,16,36,28.8,МіГ-31К
2024,13,33,87.33,МіГ-31К
2024,01,49,88.87,Невідомо
2024,10,23,41.47,Невідомо
2024,23,52,163.35,БпЛА/Шахеди
2024,00,37,192.52,Ракетна
2024,16,36,19.58,МіГ-31К
2024,01,56,78.32,Ракетна
2024,10,18,26.87,МіГ-31К
2024,07,29,235.92,МіГ-31К
2024,13,44,32.12,МіГ-31К
2024,19,58,61.98,Ракетна
2024,00,58,123.77,Невідомо
2024,12,07,25.2,МіГ-31К
2024,15,35,30.88,МіГ-31К
2024,17,35,18.28,МіГ-31К
2024,18,43,51.02,МіГ-31К
2024,00,53,130.88,Невідомо
2024,03,26,28.58,МіГ-31К
2024,07,54,39.32,Балістика
2024,06,47,27.83,МіГ-31К
2024,09,54,31.27,МіГ-31К
2024,11,51,43.7,МіГ-31К
2024,13,44,24.9,МіГ-31К
2024,15,49,17.63,Балістика
2024,23,56,88.43,БпЛА/Шахеди
2024,01,59,66.27,БпЛА/Шахеди
2024,06,59,31.95,МіГ-31К
2024,15,14,35.27,МіГ-31К
2024,17,37,32.18,МіГ-31К
2024,06,33,20.5,Невідомо
2024,21,28,19.55,МіГ-31К
2024,10,27,19.27,МіГ-31К
2024,17,19,26.87,МіГ-31К
2024,19,30,28.57,МіГ-31К
2024,00,30,111.02,Ракетна
2024,06,15,31.42,МіГ-31К
2024,07,24,21.8,МіГ-31К
2024,17,18,14.02,МіГ-31К
2024,14,34,27.53,МіГ-31К
2024,00,57,75.87,Невідомо
2024,02,01,14.53,Невідомо
2024,00,29,161.18,Ракетна
2024,05,39,15.88,МіГ-31К
2024,18,46,29.23,МіГ-31К
2024,04,14,28.38,МіГ-31К
2024,10,21,18.25,МіГ-31К
2024,12,36,33.62,Невідомо
2024,00,23,91.75,Невідомо
2024,00,25,80.32,Ракетна
2024,03,15,32.08,МіГ-31К
2024,00,05,99.1,Ракетна
2024,03,02,44.83,МіГ-31К
2024,07,18,25.28,Кинджал
2024,11,50,20.98,МіГ-31К
2024,23,14,30.43,МіГ-31К
2024,06,22,16.45,МіГ-31К
2024,23,32,62.92,БпЛА/Шахеди
2024,01,27,56.95,БпЛА/Шахеди
2024,14,16,35.37,Невідомо
2024,10,49,31.45,МіГ-31К
2024,10,59,26.02,МіГ-31К
2024,17,19,16.87,Невідомо
2024,20,39,25.3,МіГ-31К
2024,23,56,128.15,Ракетна
2024,02,19,22.23,Ракетна
2024,17,14,38.5,МіГ-31К
2024,18,45,21.83,МіГ-31К
2024,19,19,15.45,МіГ-31К
2024,14,22,46.1,Невідомо
2024,23,14,90.6,Ракетна
2024,06,56,35.27,МіГ-31К
2024,13,28,50.2,МіГ-31К
2024,20,09,20.32,МіГ-31К
2024,13,30,37.72,МіГ-31К
2024,20,43,27.68,Невідомо
2024,04,21,25.97,МіГ-31К
2024,23,36,72.97,Ракетна
2024,04,18,23.75,МіГ-31К
2024,06,54,100.15,МіГ-31К
2024,17,55,25.95,МіГ-31К
2024,22,01,113.62,БпЛА/Шахеди
2024,12,31,28.67,МіГ-31К
2024,14,29,14.45,МіГ-31К
2024,17,45,44.82,Ракетна
2024,19,49,24.98,МіГ-31К
2024,18,24,19.35,МіГ-31К
2024,08,18,39.18,МіГ-31К
2024,05,17,24.72,МіГ-31К
2024,18,29,22.03,МіГ-31К
2024,20,09,18.37,МіГ-31К
2024,20,55,26.2,МіГ-31К
2024,09,32,39.18,МіГ-31К
2024,21,11,17.63,МіГ-31К
2024,17,06,17.87,МіГ-31К
2024,23,38,47.75,МіГ-31К
2024,09,23,17.88,МіГ-31К
2024,07,47,26.45,МіГ-31К
2024,15,13,14.68,МіГ-31К
