started,finished,duration_min,alarm_type,ended,alarms_in_regions
2023-04-13 08:29:54+00:00,2023-04-13 09:16:48+00:00,46.9,Невідомо,2023-04-13 09:16:48+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-04-20 21:10:18+00:00,2023-04-20 21:27:45+00:00,17.45,МіГ-31К,2023-04-20 21:27:45+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-04-20 23:28:04+00:00,2023-04-21 01:04:08+00:00,96.07,Невідомо,2023-04-21 01:04:08+00:00,Chernihivska oblast; Dnipropetrovska oblast; Khmelnytska oblast; Kyiv City; Kyivska oblast; Poltavska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Zhytomyrska oblast
2023-04-21 15:26:28+00:00,2023-04-21 15:57:44+00:00,31.27,Невідомо,2023-04-21 15:57:44+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-04-28 01:20:16+00:00,2023-04-28 03:11:17+00:00,111.02,Невідомо,2023-04-28 03:11:17+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-05-01 01:12:25+00:00,2023-05-01 03:32:26+00:00,140.02,Невідомо,2023-05-01 03:32:26+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-05-08 08:58:17+00:00,2023-05-08 09:38:30+00:00,40.22,МіГ-31К,2023-05-08 09:38:30+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-05-09 01:45:10+00:00,2023-05-09 03:05:23+00:00,80.22,Невідомо,2023-05-09 03:05:23+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-05-13 02:06:53+00:00,2023-05-13 04:04:42+00:00,117.82,Невідомо,2023-05-13 04:04:42+00:00,Chernivetska oblast; Dnipropetrovska oblast; Ivano-Frankivska oblast; Khersonska oblast; Khmelnytska oblast; Mykolaivska oblast; Odeska oblast; Rivnenska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast
2023-05-13 19:12:22+00:00,2023-05-13 21:04:31+00:00,112.15,Невідомо,2023-05-13 21:04:31+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zhytomyrska oblast
