oblast,raion,hromada,level,started_at,finished_at,source
Lvivska oblast,,,oblast,2022-03-15 16:17:29+00:00,2022-03-15 17:16:23+00:00,official
Lvivska oblast,,,oblast,2022-03-16 00:50:53+00:00,2022-03-16 03:24:08+00:00,official
Lvivska oblast,,,oblast,2022-03-17 02:16:46+00:00,2022-03-17 02:53:45+00:00,official
Lvivska oblast,,,oblast,2022-03-18 04:08:35+00:00,2022-03-18 04:47:51+00:00,official
Lvivska oblast,,,oblast,2022-03-19 09:33:47+00:00,2022-03-19 09:54:29+00:00,official
Lvivska oblast,,,oblast,2022-03-19 13:15:55+00:00,2022-03-19 14:33:32+00:00,official
Lvivska oblast,,,oblast,2022-03-20 03:27:17+00:00,2022-03-20 04:34:15+00:00,official
Lvivska oblast,,,oblast,2022-03-20 23:32:27+00:00,2022-03-21 00:45:31+00:00,official
Lvivska oblast,,,oblast,2022-03-21 04:52:48+00:00,2022-03-21 05:41:13+00:00,official
Lvivska oblast,,,oblast,2022-03-21 08:39:51+00:00,2022-03-21 09:00:15+00:00,official
Lvivska oblast,,,oblast,2022-03-21 09:16:07+00:00,2022-03-21 09:44:07+00:00,official
Lvivska oblast,,,oblast,2022-03-21 14:16:24+00:00,2022-03-21 16:59:51+00:00,official
Lvivska oblast,,,oblast,2022-03-22 04:53:47+00:00,2022-03-22 06:19:55+00:00,official
Lvivska oblast,,,oblast,2022-03-22 11:23:20+00:00,2022-03-22 11:35:32+00:00,official
Lvivska oblast,,,oblast,2022-03-22 13:17:15+00:00,2022-03-22 14:31:37+00:00,official
Lvivska oblast,,,oblast,2022-03-22 15:42:47+00:00,2022-03-22 17:49:59+00:00,official
Lvivska oblast,,,oblast,2022-03-22 18:30:33+00:00,2022-03-22 19:11:06+00:00,official
Lvivska oblast,,,oblast,2022-03-25 14:16:29+00:00,2022-03-25 15:28:27+00:00,official
Lvivska oblast,,,oblast,2022-03-26 14:12:11+00:00,2022-03-26 18:00:32+00:00,official
Lvivska oblast,,,oblast,2022-03-26 18:50:00+00:00,2022-03-26 19:34:14+00:00,official
Lvivska oblast,,,oblast,2022-03-27 18:41:56+00:00,2022-03-27 20:00:47+00:00,official
Lvivska oblast,,,oblast,2022-03-28 09:52:36+00:00,2022-03-28 10:27:08+00:00,official
Lvivska oblast,,,oblast,2022-03-28 18:38:30+00:00,2022-03-28 19:10:24+00:00,official
Lvivska oblast,,,oblast,2022-03-29 00:45:55+00:00,2022-03-29 01:49:33+00:00,official
Lvivska oblast,,,oblast,2022-03-29 09:58:01+00:00,2022-03-29 10:34:20+00:00,official
Lvivska oblast,,,oblast,2022-03-29 13:57:15+00:00,2022-03-29 14:49:23+00:00,official
Lvivska oblast,,,oblast,2022-03-29 17:38:19+00:00,2022-03-29 18:20:37+00:00,official
Lvivska oblast,,,oblast,2022-03-29 20:21:55+00:00,2022-03-29 21:17:46+00:00,official
Lvivska oblast,,,oblast,2022-03-30 09:00:24+00:00,2022-03-30 09:30:26+00:00,official
Lvivska oblast,,,oblast,2022-03-30 14:25:26+00:00,2022-03-30 15:18:52+00:00,official
Lvivska oblast,,,oblast,2022-03-31 19:18:51+00:00,2022-03-31 20:17:42+00:00,official
Lvivska oblast,,,oblast,2022-04-01 16:59:16+00:00,2022-04-01 17:28:05+00:00,official
Lvivska oblast,,,oblast,2022-04-02 00:39:52+00:00,2022-04-02 03:37:38+00:00,official
Lvivska oblast,,,oblast,2022-04-02 14:15:40+00:00,2022-04-02 14:54:33+00:00,official
Lvivska oblast,,,oblast,2022-04-03 01:24:36+00:00,2022-04-03 03:49:02+00:00,official
Lvivska oblast,,,oblast,2022-04-03 17:15:19+00:00,2022-04-03 17:55:06+00:00,official
Lvivska oblast,,,oblast,2022-04-03 19:13:19+00:00,2022-04-03 19:44:49+00:00,official
Lvivska oblast,,,oblast,2022-04-04 11:49:02+00:00,2022-04-04 12:12:54+00:00,official
Lvivska oblast,,,oblast,2022-04-04 15:18:25+00:00,2022-04-04 16:01:56+00:00,official
Lvivska oblast,,,oblast,2022-04-04 19:47:18+00:00,2022-04-04 20:43:21+00:00,official
Lvivska oblast,,,oblast,2022-04-05 02:31:13+00:00,2022-04-05 03:14:56+00:00,official
Lvivska oblast,,,oblast,2022-04-05 13:14:07+00:00,2022-04-05 13:53:07+00:00,official
Lvivska oblast,,,oblast,2022-04-05 19:18:50+00:00,2022-04-05 20:04:24+00:00,official
Lvivska oblast,,,oblast,2022-04-07 08:16:56+00:00,2022-04-07 08:46:43+00:00,official
Lvivska oblast,,,oblast,2022-04-07 10:07:37+00:00,2022-04-07 10:32:08+00:00,official
Lvivska oblast,,,oblast,2022-04-08 05:27:07+00:00,2022-04-08 05:53:21+00:00,official
Lvivska oblast,,,oblast,2022-04-11 01:22:14+00:00,2022-04-11 01:49:23+00:00,official
Lvivska oblast,,,oblast,2022-04-11 20:12:43+00:00,2022-04-11 21:05:33+00:00,official
Lvivska oblast,,,oblast,2022-04-12 08:32:41+00:00,2022-04-12 08:45:47+00:00,official
Lvivska oblast,,,oblast,2022-04-14 18:55:20+00:00,2022-04-14 19:54:00+00:00,official
Lvivska oblast,,,oblast,2022-04-14 21:15:19+00:00,2022-04-14 23:04:31+00:00,official
